order_id,customer_id,order_date,order_amount,status
c5e4e650-16a6-4947-afd2-741c4548e0ab,CUST-672,2025-08-21T01:52:03,1341.45,cancelled
7a8aa77c-5ff0-4152-a8f0-8360c0bfe48b,CUST-172,2025-06-23T10:55:22,3482.97,cancelled
988fd850-6c7f-4200-8be0-bf1a809f28b1,CUST-734,2026-02-02T22:15:09,41.59,pending
a2375328-8fb6-4bea-b701-0a256b0e340a,CUST-257,2025-02-24T14:41:38,2589.5,pending
3cc0d217-6b4d-4ffd-9847-c22faa030cbb,CUST-1607,2024-10-21T14:33:55,2679.5,cancelled
0c1ffe94-0614-49af-b78e-e267d48bc09f,CUST-1854,2026-03-06T20:31:09,3245.71,completed
2539aed6-34c4-445e-9eb7-da9851b6db0c,CUST-90,2025-01-11T11:29:03,4039.63,completed
8722a21d-3182-4f61-bd55-5bc7244e751b,CUST-1149,2026-03-11T10:04:09,4694.64,completed
05b55dd2-b3d1-4129-90a8-b30b354c5201,CUST-1046,2024-09-25T10:04:28,846.21,pending
90d3f864-1b13-4f48-95e3-a7b1465b4211,CUST-1634,2024-06-08T01:24:11,3421.68,pending
f6f85f7f-16b4-48d5-b976-136812862d88,CUST-125,2026-01-03T03:09:18,633.27,pending
956e374d-1eca-4f78-8db8-80523115c2c1,CUST-684,2026-05-28T02:59:29,1714.91,completed
2af7339d-4299-4e44-a5a6-d96abb795a1b,CUST-48,2025-11-04T10:09:19,3572.54,pending
5b131d96-417e-48db-a164-599f876a7f29,CUST-47,2025-01-15T23:21:46,59.67,cancelled
74202559-a87a-4c62-9b8f-bb7225efe30c,CUST-818,2024-04-11T04:26:34,3937.03,pending
872f115c-2ab2-46e7-8d59-09218622d198,CUST-1720,2024-01-03T17:25:10,2892.86,pending
df98d11a-29b3-4848-b511-053b1d6d4cbd,CUST-785,2026-03-13T23:33:55,4106.28,cancelled
a44e9e93-a48e-4eb7-94cb-665f6076e5f7,CUST-1945,2025-10-21T19:07:12,4488.81,completed
4dfb30a7-3f3b-4d40-9dad-69c650b9b95b,CUST-1056,2024-05-01T19:17:43,2104.47,completed
2f48e8a2-37e4-4df1-8078-8bb5b6090f62,CUST-1416,2026-01-11T10:03:43,3310.95,pending
87eda2bc-e91f-4075-a74f-c1c231ad2092,CUST-76,2024-07-15T19:06:37,103.66,completed
af18873b-0b84-46ca-9653-7ad0f514d231,CUST-1668,2026-03-03T04:49:11,1942.69,pending
21732827-71e9-4a80-885a-ca0fe5d475fd,CUST-605,2025-01-27T18:11:16,877.67,completed
a85cb3cc-ab09-4562-985e-72616a8bf46e,CUST-373,2024-08-21T13:23:48,359.55,cancelled
88977d67-8cb9-46bb-8100-8f930f4c4123,CUST-696,2025-12-03T02:15:10,4014.81,pending
7359b2b9-98c7-41c4-862e-caa446bf42c1,CUST-1826,2024-11-01T22:47:56,2660.14,pending
790ebaeb-2f99-48d2-9048-c6367c6d2694,CUST-1917,2024-06-12T19:06:08,4418.36,completed
0ac55a37-2613-448e-9da9-32f190055d98,CUST-594,2026-02-09T20:25:18,4109.89,pending
8078a25d-b095-4abf-bf24-11d1ae11bb09,CUST-1535,2025-09-25T14:37:45,1258.55,cancelled
082f64fe-8921-4dcd-a307-c60c95377eaa,CUST-747,2026-05-25T16:06:12,4699.49,cancelled
de810019-7a53-422a-b661-ee174de7ad23,CUST-218,2025-12-16T22:28:03,1820.85,cancelled
8f5b2646-160f-4019-8148-3e66ea72849a,CUST-516,2024-04-17T21:51:43,2659.89,cancelled
3969e33d-3afe-4a28-a2e8-9b18fe819a3f,CUST-907,2025-07-06T16:23:10,2626.06,cancelled
